mattername,ground_truth_question,rubric
Epstein (1),"In Case No. 19-cv-10476-PGG, what does the plaintiff argue regarding the defendants' motion to dismiss the punitive-damages claim?","Did the response convey the plaintiff's argument on the punitive-damages motion?
a. States the court should deny the defendants' motion to dismiss the punitive-damages claim (1 point)"
Epstein (1),On what date did the arrest recorded under Arrest ID M21609870-Q occur?,"Did the response give the correct date?
a. States March 29, 2021 (1 point)"
Epstein (1),What explanation did Epstein give about the incident involving the bedsheet?,"Did the response convey Epstein's explanation about the bedsheet incident?
a. States Tartaglione had been playing with a bedsheet before Epstein fell asleep (1 point)
b. States Epstein later woke up (snoring) with no memory of the incident (1 point)"
Epstein (1),What did Douglas Montero request?,"Did the response identify what Douglas Montero requested?
a. States he requested all files, photographs, videos, and audio records (1 point)
b. Specifies they pertain to the July 6, 2019 SDNY indictment of Jeffrey Epstein (1 point)"
Epstein (1),How frequently do Metropolitan Detention Center staff search Ghislaine Maxwell's cell for contraband?,"Did the response give the correct search frequency?
a. States the cell is searched for contraband once per day (1 point)"
Epstein (1),"In the April 6, 2021 Government letter on Ghislaine Maxwell's MDC confinement (US v. Maxwell, 20 Cr. 330), what BOP policy specifies the timeframe for the deletion of inmate emails?","Did the response identify the email-deletion timeframe?
a. States BOP policy purges all inmate emails every six months (1 point)"
Epstein (1),How does the Metropolitan Detention Center provide drinking water to inmates during periods of city water maintenance?,"Did the response convey how drinking water is provided during water maintenance?
a. States MDC provided inmates (including the defendant) with bottled water (1 point)"
Epstein (1),What relief did Ghislaine Maxwell's bail filing argue she should receive regarding her detention status?,"Did the response convey the relief sought?
a. States she should be granted bail (1 point)
b. States that, alternatively, the case should be remanded for an evidentiary hearing (1 point)"
Epstein (1),"According to Ghislaine Maxwell's bail/detention filing, what detention practice allegedly interfered with her sleep?","Did the response identify the practice that interfered with her sleep?
a. States a flashlight was pointed into her cell every 15 minutes (1 point)"
Epstein (1),What organization has Kimberly B. Mehlman-Orozco served as CEO of since Fall 2019?,"Did the response identify the organization?
a. Identifies 'Break the Chain' (1 point)"
Epstein (1),"After the FBI Legat London email about Prince Andrew, what did the DOJ Attache ask regarding the Manhattan DA's (DANY) case?","Did the response convey what the DOJ Attache asked?
a. States the Attache asked whether DANY (the Manhattan DA) also had its own case (1 point)"
Epstein (1),"What date of birth was recorded for Ghislaine Maxwell at her March 29, 2021 arrest?","Did the response give the correct date of birth?
a. States December 25, 1961 (1 point)"
Epstein (1),"What Arrest ID was recorded for Ghislaine Maxwell's arrest on March 29, 2021?","Did the response give the correct Arrest ID?
a. States the Arrest ID as M21609870-Q (1 point)"
Epstein (1),What conclusion did Louis Freeh draw from the absence of Secret Service records?,"Did the response convey Louis Freeh's conclusion?
a. States he concluded Clinton was not present on Little St. James Island during the relevant period (1 point)"
Epstein (1),Where in Australia did FBI agents meet Jeffrey Epstein's accuser?,"Did the response identify the location?
a. Identifies the U.S. Consulate in Sydney, Australia (1 point)"
Epstein (1),"What public event involving the acting U.S. Attorney occurred on the day of Ghislaine Maxwell's July 2020 arrest, per her bail filing?","Did the response convey the public event on the day of her arrest?
a. States the acting U.S. Attorney held a press conference (1 point)
b. Notes the large charts and/or pausing for media pictures (1 point)
c. Notes it occurred before Maxwell had appeared in the SDNY (1 point)"
Epstein (1),What did the DOJ OIG find regarding falsified documentation by BOP staff in its investigation of Jeffrey Epstein's August 2019 death at MCC New York?,"Did the response identify the OIG's findings on falsified documentation by BOP staff?
a. States several staff falsified BOP records relating to inmate counts and rounds (1 point)
b. States staff lacked candor during their OIG interviews (1 point)"
Epstein (1),What was observed around Epstein's neck on July 23?,"Did the response identify what was observed around Epstein's neck on July 23?
a. Notes friction marks around the neck (1 point)
b. Notes superficial reddening / erythema (1 point)"
Epstein (1),What did Gogger tell Jack regarding house arrest?,"Did the response convey what Gogger told Jack about house arrest?
a. States they could 'put him out' on house arrest with no problem (1 point)
b. Includes the caveat 'as long as the feds don't give us grief' (1 point)"
Epstein (1),How is Dr. Elizabeth Loftus identified in the defense expert disclosure filed in US v. Ghislaine Maxwell?,"Did the response convey how Loftus is identified?
a. States she is the Distinguished Professor of Psychological Science and Law at UC Irvine (School of Law) (1 point)"
Epstein (1),How did Ghislaine Maxwell's bail/detention filing describe her behavior and risk profile as an inmate?,"Did the response convey how Maxwell's behavior/risk profile was described?
a. Describes her as a model prisoner who poses no danger (1 point)
b. States she had done nothing to prompt 'special' treatment (1 point)"
Epstein (1),What did Thomas Volscho request?,"Did the response identify what Thomas Volscho requested?
a. States he requested (a copy of) 5 years of Jeffrey Epstein's banking records (1 point)
b. Ties it to 'Institution-1' referenced in SDNY's July 12, 2019 letter to Judge Berman (1 point)"
Epstein (1),Why was Epstein assigned to the SHU on July 7?,"Did the response identify why Epstein was assigned to the SHU?
a. States media coverage of his case (1 point)
b. States inmate awareness of his notoriety (1 point)"
Epstein (1),"Who was the arresting officer for Ghislaine Maxwell's March 29, 2021 arrest?","Did the response correctly identify the arresting officer?
a. Identifies DT3 (Detective Third Grade) Paul W. Byrne as the arresting officer (1 point)"
Epstein (1),"According to Ghislaine Maxwell's bail/detention filing, what claim was made about whether she would have been charged if Jeffrey Epstein were still alive?","Did the response convey the claim made?
a. States she would not be facing charges if Epstein were still alive (1 point)"
Epstein (1),"In the plaintiff's memorandum opposing dismissal in Case No. 19-cv-10476-PGG, which introductory section appears immediately before the Statement of Facts?","Did the response identify the correct section?
a. Identifies the Preliminary Statement (1 point)"
Epstein (1),What reasons were documented for declining a Desk Appearance Ticket to Ghislaine Maxwell on her NYPD arrest report (M20619659)?,"Did the response identify the documented DAT-declined reasons?
a. Identifies 'Reasonable Appearance an OOP will be Issued' (1 point)
b. Identifies 'Sex Crime' (1 point)
c. Does not introduce additional incorrect reasons (e.g., does not assert an 'Outstanding Warrant') (1 point)"
Epstein (1),"What did inmates with a direct line of sight to Epstein's cell door report after the SHU staff returned Epstein
to his cell on August 9?","Did the response convey what the inmates reported?
a. States that no one entered or exited Epstein's cell (1 point)"
Epstein (1),"What is the full name of the person arrested inside 40 Centre Street on March 29, 2021 (Arrest ID M21609870-Q)?","Did the response give the correct full name?
a. States the name as Maxwell, Ghislaine N. (1 point)"
Epstein (1),Why does processing inmate mail at the Metropolitan Detention Center sometimes take multiple days?,"Did the response convey why mail processing can take multiple days?
a. States it is due to the large number of inmates and the volume of mail at the MDC (1 point)"
Epstein (1),What did Lady Victoria once claim Maxwell had done?,"Did the response convey Lady Victoria's claim?
a. States Maxwell used her as 'bait' to attract women to Epstein's parties (1 point)"
Epstein (1),When did the Metropolitan Detention Center in Brooklyn resume in-person visitation in 2021?,"Did the response give the correct date?
a. States on or about February 16, 2021 (1 point)"
Epstein (1),"In the Maxwell defense expert disclosure, how can the halo effect influence legal judgments and evaluations of individuals?","Did the response convey how the halo effect can influence legal judgments?
a. States positive impressions may lead to preferential treatment or biased evaluations (1 point)"
Epstein (1),"In Virginia Giuffre's family's April 2025 statement, what did they say about the impact years of abuse had on her?","Did the response convey what the family said about the impact of abuse?
a. States the toll/weight of abuse became unbearable for Virginia (1 point)"
Epstein (1),"In the Maxwell defense expert disclosure, what does Dr. Dietz state about scientific support for grooming-by-proxy?","Did the response convey what Dr. Dietz said about scientific support for grooming-by-proxy?
a. States he was aware of no authority (no journal articles, studies, or tests) supporting the theory (1 point)"
Epstein (1),What aspects of human memory does Dr. Elizabeth Loftus propose to address in her expert testimony?,"Did the response identify the aspects of memory Loftus would address?
a. Identifies the workings of human memory and the effects of suggestion (1 point)
b. Identifies the creation and characteristics of false memories (1 point)"
Epstein (1),What did Metropolitan Detention Center staff report regarding Ghislaine Maxwell's alleged hair loss?,"Did the response convey what MDC staff reported about hair loss?
a. States staff had not observed any noticeable hair loss (1 point)"
Epstein (1),"In the Maxwell defense expert disclosure, what issue does Dr. Dietz identify about the definition of grooming?","Did the response convey the issue Dr. Dietz identified about defining grooming?
a. States grooming has no consistent definition (1 point)"
Epstein (1),How does the Maxwell defense expert disclosure define dissociation?,"Did the response correctly define dissociation?
a. States the lack of normal integration of thoughts, feelings, and experiences into consciousness and memory (1 point)
b. Notes it involves a disruption/splitting off of memory, identity, consciousness, or perceptions (1 point)"
Epstein (1),"According to Ghislaine Maxwell's bail/detention filing, why was she allegedly unable to adequately prepare for trial?","Did the response convey why she was allegedly unable to prepare for trial?
a. States the pandemic made it unsafe to meet with her lawyers in person (1 point)"
Epstein (1),How many recommendations did the DOJ Office of the Inspector General make to the Bureau of Prisons in its review of Jeffrey Epstein's August 2019 death at MCC New York?,"Did the response give the correct number of recommendations?
a. States the OIG made eight (8) recommendations to the BOP (not another number) (1 point)"
Epstein (1),What publication is the source of the April 2025 article reporting Lady Victoria Hervey's reaction to Virginia Giuffre's death?,"Did the response identify the publication?
a. Identifies the Daily Mail (DailyMail.com) (1 point)"
Epstein (1),"In the plaintiff's opposition memo in the Epstein estate suit (19-cv-10476, SDNY), in which section are the legal arguments presented?","Did the response identify the correct section?
a. Identifies the 'Argument' section (1 point)"
Epstein (1),Where was Epstein later found dead?,"Did the response convey where Epstein was found dead?
a. States he was found dead on August 10, 2019 (1 point)
b. States it was in a different cell, having been moved from the cell he shared with Tartaglione (1 point)"
Epstein (1),What did the U.S. Secret Service response say about records responsive to Louis Freeh's FOIA request on Bill Clinton's travel?,"Did the response convey what the USSS response said?
a. States there were no records pertaining to the request referenced in the indices (1 point)"
Epstein (1),How much time per day is Ghislaine Maxwell permitted to review discovery materials while detained at the Metropolitan Detention Center?,"Did the response give the correct amount of discovery-review time?
a. States thirteen (13) hours per day (1 point)
b. States seven days per week (1 point)"
Epstein (1),What activity does the VTC room camera record during Ghislaine Maxwell's attorney video conferences?,"Did the response convey what the VTC room camera records?
a. States the camera records who enters and exits the room (1 point)
b. States it does not record activity inside the room (1 point)"
Epstein (1),"According to Ghislaine Maxwell's bail/detention filing, how old were the allegations underlying the charges against her?","Did the response convey the age of the allegations?
a. States the charges/allegations are about 25 years old (1 point)
b. States they concern alleged actions from 1994-1997 (1 point)"
Epstein (1),What did Jeffrey Epstein's accuser say he told her about his connections?,"Did the response convey what Epstein said about his connections?
a. States he told her he knew many people in high places / powerful people (1 point)"
Epstein (1),In what year did Jeffrey Epstein's accuser say she first met Ghislaine Maxwell?,"Did the response give the correct year?
a. States approximately 1999 (1 point)"
Epstein (1),How has Mr. Tartaglione described his conduct?,"Did the response convey how Tartaglione described his conduct?
a. States he said he acted appropriately in all respects (1 point)"
Epstein (1),How was Epstein positioned when found?,"Did the response convey how Epstein was positioned when found?
a. States he was suspended/hanging from the top bunk (1 point)
b. States a near-seated position with buttocks ~1 to 1.5 inches off the floor (1 point)"
Epstein (1),"According to the defense filing, with whom was Ghislaine Maxwell communicating prior to her arrest in July 2020?","Did the response identify with whom Maxwell was communicating?
a. States she was in contact, through her attorneys, with the U.S. Attorney's Office (SDNY) (1 point)"
Epstein (1),"Who signed for the United States the April 6, 2021 Government letter on Ghislaine Maxwell's conditions of confinement (US v. Maxwell, 20 Cr. 330)?","Did the response identify the signatory?
a. Identifies Audrey Strauss, United States Attorney (1 point)"
Epstein (1),To which criminal offenses did Jeffrey Epstein plead guilty in 2008?,"Did the response identify the offenses Epstein pleaded guilty to in 2008?
a. Identifies procuring a person under the age of 18 for prostitution (1 point)
b. Identifies solicitation of prostitution (1 point)"
Epstein (1),What fake identity was allegedly used against the South Australian woman who claimed she was targeted by a sexual-abuse ring linked to Epstein and Maxwell?,"Did the response identify the fake identity?
a. States 'Adam Gurgly, London UK' (1 point)"
Epstein (1),"In the Maxwell defense expert disclosure by Dr. Park Dietz, what concern is raised about using the term 'grooming' in litigation?","Did the response identify Dr. Dietz's concern about the term 'grooming'?
a. States the word has acquired meaning beyond an objective description of behaviors (1 point)
b. States it imputes motive/intent without adequate evidence (1 point)"
Epstein (1),"To which facility was Epstein's cellmate transferred on August 9, 2019?","Did the response identify the facility?
a. Identifies GEO / the Queens Detention Facility (1 point)"
Epstein (1),What was requested by Johannes Perterer?,"Did the response identify what Johannes Perterer requested?
a. States the Austrian passport of Jeffrey (Edward) Epstein (1 point)"
Epstein (1),"According to Ghislaine Maxwell's bail/detention filing, what problem was described regarding the preparation of her food?","Did the response convey the problem with her food preparation?
a. States her food was microwaved with a plastic covering that melted into it (1 point)
b. States this rendered the food inedible (1 point)"
Epstein (1),What is Ghislaine Maxwell required to do during each pat-down search conducted by Metropolitan Detention Center staff?,"Did the response convey what Maxwell must do during each pat-down?
a. States she must remove her mask and briefly open her mouth (1 point)
b. States this is so (masked) staff can confirm no contraband is hidden in her mouth (1 point)"
Epstein (1),"According to Ghislaine Maxwell's bail/detention filing, what physical and mental effects was she alleged to be experiencing while detained?","Did the response identify the physical and mental effects the filing alleged Maxwell was experiencing?
a. Identifies weight loss (1 point)
b. Identifies hair loss (1 point)
c. Identifies loss of her ability to concentrate (1 point)"
Epstein (1),What did the search of Epstein’s cell after his death reveal?,"Did the response convey what the cell search revealed?
a. States the cell contained excess prison blankets, linens, and clothing (1 point)
b. States some had been ripped/torn to create nooses (1 point)"
Epstein (1),Where did Jeffrey Epstein's accuser say he first flew her on his private jet after she began working exclusively for him?,"Did the response identify the destination?
a. States New York (1 point)"
Epstein (1),How old did Jeffrey Epstein's accuser say she was when she first met Ghislaine Maxwell?,"Did the response give the correct age?
a. States she was 15 years old (1 point)"
Epstein (1),"According to Ghislaine Maxwell's bail appeal, what evidence did the defense claim the government failed to present, regarding her flight risk status, at her detention hearing?","Did the response identify the evidence the defense claimed the government failed to present?
a. States the government did not proffer any actual evidence that the weight of the evidence against Maxwell was strong (1 point)"
Epstein (1),How did Ghislaine Maxwell's bail/detention filing characterize her conditions of confinement following her arrest?,"Did the response convey how the filing characterized her conditions?
a. States the filing characterized her conditions as 'nightmarish' (or a clearly equivalent extreme term) (1 point)"
Epstein (1),"What occurred in the DVR 2 unit of the MCC New York security camera system on July 29, 2019, per the DOJ OIG investigation into Jeffrey Epstein's death, and what was the result?","Did the response convey what occurred in DVR 2 and the result?
a. States disk failures occurred in DVR 2 (1 point)
b. States the system was unable to record, though cameras kept working / broadcasting live feed (1 point)"
Epstein (1),"According to the research cited by Dr. Elizabeth Loftus, how can false memories resemble true memories?","Did the response convey how false memories can resemble true memories?
a. States false memories can be described with confidence, detail, and emotion even when false (1 point)"
Epstein (1),Where was Epstein found hanged?,"Did the response identify where Epstein was found hanged?
a. States his assigned cell within the Special Housing Unit (SHU) (1 point)"
Epstein (1),At which institution is Dr. Park Dietz identified as a clinical professor in the defense expert disclosure?,"Did the response identify the institution?
a. Identifies the UCLA School of Medicine (1 point)"
Epstein (1),"According to Ghislaine Maxwell's bail/detention filing, what explanation was offered for why the indictment against her was brought?","Did the response convey the explanation offered for why the indictment was brought?
a. States it was a function solely of Epstein's untimely death (1 point)
b. References the ensuing media frenzy (1 point)"
Epstein (1),When did Epstein attempt suicide?,"Did the response give the correct date/time of the suicide attempt?
a. States July 23, 2019 (1 point)
b. Notes the approximate time of ~1:27 a.m. (1 point)"
Epstein (1),Who submitted a FOIA request for Secret Service records to test whether Bill Clinton had visited Little St. James Island?,"Did the response identify who submitted the FOIA request?
a. Identifies former FBI Director Louis Freeh (1 point)"
Epstein (1),"According to the grooming-by-proxy theory in the Maxwell defense expert disclosure, what role is Maxwell alleged to have played for Jeffrey Epstein?","Did the response convey the role Maxwell is alleged to have played?
a. States she recruited and groomed minors (1 point)
b. States this was to provide sexualized massages for Epstein (1 point)"
Epstein (1),How are Ghislaine Maxwell's meals heated while she is detained at the Metropolitan Detention Center?,"Did the response identify how Maxwell's meals are heated?
a. States they are heated in a thermal oven (1 point)"
Epstein (1),What did Epstein say about returning to his cell with Tartaglione?,"Did the response convey what Epstein said about returning to his cell?
a. States he was fearful/afraid (1 point)
b. States it was because Tartaglione had called him a pedophile (1 point)"
Epstein (1),What university awarded Kimberly B. Mehlman-Orozco her Doctor of Philosophy degree?,"Did the response identify the university?
a. Identifies George Mason University (1 point)"
Epstein (1),"In the plaintiff's memorandum opposing dismissal in Case No. 19-cv-10476-PGG, which section immediately precedes the Argument section?","Did the response identify the correct section?
a. Identifies the Statement of Facts (1 point)"
Epstein (1),How did Ghislaine Maxwell's bail/detention filing characterize her isolation conditions while detained?,"Did the response convey how the filing characterized her isolation?
a. States she is kept in isolation (1 point)
b. Includes the 'conditions fitting for Hannibal Lecter' characterization (1 point)"
